id,Major,Major_category,Total,Men,Women,Major_category_code
2419,Petroleum Engineering,Engineering,2339,2057,282,8
2416,Mining And Mineral Engineering,Engineering,756,679,77,8
2415,Metallurgical Engineering,Engineering,856,725,131,8
2417,Naval Architecture And Marine Engineering,Engineering,1258,1123,135,8
2405,Chemical Engineering,Engineering,32260,21239,11021,8
2418,Nuclear Engineering,Engineering,2573,2200,373,8
6202,Actuarial Science,Business,3777,832,960,4
5001,Astronomy And Astrophysics,Physical Sciences,1792,2110,1667,14
2414,Mechanical Engineering,Engineering,91227,12953,2105,8
2408,Electrical Engineering,Engineering,81527,8407,6548,8
2407,Computer Engineering,Engineering,41542,33258,8284,8
2401,Aerospace Engineering,Engineering,15058,65511,16016,8
2404,Biomedical Engineering,Engineering,14955,80320,10907,8
5008,Materials Science,Engineering,4279,2949,1330,8
2409,Engineering Mechanics Physics And Science,Engineering,4321,3526,795,8
2402,Biological Engineering,Engineering,8925,6062,2863,8
2412,Industrial And Manufacturing Engineering,Engineering,18968,12453,6515,8
2400,General Engineering,Engineering,61152,45683,15469,8
2403,Architectural Engineering,Engineering,2825,1835,990,8
3201,Court Reporting,Law & Public Policy,1148,877,271,13
2102,Computer Science,Computers & Mathematics,128319,1837,2524,6
1104,Food Science,Agriculture & Natural Resources,4361,99743,28576,1
2502,Electrical Engineering Technology,Engineering,11565,2020,973,8
2413,Materials Engineering And Materials Science,Engineering,2993,8181,3384,8
6212,Management Information Systems And Statistics,Business,18713,13496,5217,4
2406,Civil Engineering,Engineering,53153,41081,12072,8
5601,Construction Services,Industrial Arts & Consumer Services,18498,2662,1385,11
6204,Operations Logistics And E-Commerce,Business,11732,488,232,4
2499,Miscellaneous Engineering,Engineering,9133,7398,1735,8
5402,Public Policy,Law & Public Policy,5978,2695,905,13
2410,Environmental Engineering,Engineering,4047,2639,3339,8
2500,Engineering Technologies,Engineering,3600,16820,1678,8
6099,Miscellaneous Fine Arts,Arts,3340,1970,1370,2
2411,Geological And Geophysical Engineering,Engineering,720,7921,3811,8
6107,Nursing,Health,209394,21773,187621,9
6207,Finance,Business,174506,89749,49498,4
5501,Economics,Social Science,139247,115030,59476,16
6205,Business Economics,Business,13302,3477,1154,4
2503,Industrial Production Technologies,Engineering,4631,528,1588,8
5102,"Nuclear, Industrial Radiology, And Biological Technologies",Physical Sciences,2116,7575,5727,14
6201,Accounting,Business,198633,27392,9306,4
3700,Mathematics,Computers & Mathematics,72397,9005,2908,6
2100,Computer And Information Systems,Computers & Mathematics,36698,515,1247,6
5007,Physics,Physical Sciences,32142,39956,32441,14
6105,Medical Technologies Technicians,Health,15914,2794,2145,9
2105,Information Sciences,Computers & Mathematics,11913,2960,3291,6
3702,Statistics And Decision Science,Computers & Mathematics,6251,23080,9062,6
3701,Applied Mathematics,Computers & Mathematics,4939,3916,11998,6
3607,Pharmacology,Biology & Life Science,1762,94519,104114,3
5006,Oceanography,Physical Sciences,2418,752,1666,14
2501,Engineering And Industrial Management,Engineering,2906,2400,506,8
6104,Medical Assisting Services,Health,11123,500,109,9
4005,Mathematics And Computer Science,Computers & Mathematics,609,803,10320,6
2101,Computer Programming And Data Processing,Computers & Mathematics,4168,3046,1122,6
4006,Cognitive Science And Biopsychology,Biology & Life Science,3831,119,699,3
2303,School Student Counseling,Education,818,1667,2164,7
5505,International Relations,Social Science,28187,10345,17842,16
6200,General Business,Business,234590,6053,4346,4
1401,Architecture,Engineering,46420,9658,4582,8
6210,International Business,Business,25894,1749,690,4
6108,Pharmacy Pharmaceutical Sciences And Administration,Health,23551,25463,20957,9
3603,Molecular Biology,Biology & Life Science,18300,4419,371,3
6299,Miscellaneous Business & Medical Administration,Business,17947,7043,1761,4
1101,Agriculture Production And Management,Agriculture & Natural Resources,14240,7426,10874,1
1100,General Agriculture,Agriculture & Natural Resources,10399,1761,1874,1
2599,Miscellaneous Engineering Technologies,Engineering,8804,124,0,8
2504,Mechanical Engineering Related Technologies,Engineering,4790,894,542,8
3605,Genetics,Biology & Life Science,3635,1075,1939,3
5599,Miscellaneous Social Sciences,Social Science,3283,1499,1784,16
6403,United States History,Humanities & Liberal Arts,3079,8697,14854,10
5205,Industrial And Organizational Psychology,Psychology & Social Work,3014,132238,102352,15
1102,Agricultural Economics,Agriculture & Natural Resources,2439,10624,15270,1
5000,Physical Sciences,Physical Sciences,1436,10285,7662,14
3801,Military Technologies,Industrial Arts & Consumer Services,124,1756,1323,11
5003,Chemistry,Physical Sciences,66530,32923,33607,14
5701,"Electrical, Mechanical, And Precision Technologies And Production",Industrial Arts & Consumer Services,2435,1869,566,11
6203,Business Management And Administration,Business,329927,6383,8849,4
6206,Marketing And Marketing Research,Business,205211,11404,7076,4
5506,Political Science And Government,Social Science,182621,93880,88741,16
5504,Geography,Social Science,18480,173809,156118,16
3606,Microbiology,Biology & Life Science,15232,78857,126354,3
2106,Computer Administration Management And Security,Computers & Mathematics,8066,6607,1459,6
3601,Biochemical Sciences,Biology & Life Science,39107,18951,20156,3
3602,Botany,Biology & Life Science,1329,626,703,3
2107,Computer Networking And Telecommunications,Computers & Mathematics,7613,5291,2322,6
5004,Geology And Earth Science,Physical Sciences,10972,5813,5159,14
6209,Human Resources And Personnel Management,Business,24497,4435,9093,4
3202,Pre-Law And Legal Studies,Law & Public Policy,13528,809,1169,13
6199,Miscellaneous Health Medical Professions,Health,13386,413,973,9
5401,Public Administration,Law & Public Policy,5629,2947,2682,13
5005,Geosciences,Physical Sciences,1978,1589,11797,14
5206,Social Psychology,Psychology & Social Work,1386,6184,18313,15
1301,Environmental Science,Biology & Life Science,25965,10787,15178,3
1901,Communications,Communications & Journalism,213996,476,209,5
5301,Criminal Justice And Fire Protection,Law & Public Policy,152824,3156,451,13
6004,Commercial Art And Graphic Design,Arts,103480,8617,5156,2
1902,Journalism,Communications & Journalism,72619,8739,22456,5
5098,Multi-Disciplinary Or General Science,Physical Sciences,62052,70619,143377,14
1904,Advertising And Public Relations,Communications & Journalism,53162,23736,48883,5
1501,Area Ethnic And Civilization Studies,Humanities & Liberal Arts,31195,12862,40300,10
2310,Special Needs Education,Education,28739,11431,6604,7
3608,Physiology,Biology & Life Science,22060,2682,26057,3
5503,Criminology,Social Science,19879,8422,13638,16
4002,Nutrition Sciences,Health,18909,4944,8719,9
6103,Health And Medical Administrative Services,Health,18109,2817,9479,9
2001,Communication Technologies,Computers & Mathematics,18035,2563,16346,6
5901,Transportation Sciences And Technologies,Industrial Arts & Consumer Services,15150,2744,1299,11
1303,Natural Resources Management,Agriculture & Natural Resources,13773,27015,35037,1
3611,Neuroscience,Biology & Life Science,13663,80231,72593,3
4000,Multi/Interdisciplinary Studies,Interdisciplinary,12296,10031,9848,12
5002,Atmospheric Sciences And Meteorology,Physical Sciences,4043,13257,1893,14
1302,Forestry,Agriculture & Natural Resources,3607,32041,71439,1
1106,Soil Science,Agriculture & Natural Resources,685,4266,13843,1
2300,General Education,Education,143718,26893,116825,7
6402,History,Humanities & Liberal Arts,141951,280,524,10
2602,French German Latin And Other Common Foreign Language Studies,Humanities & Liberal Arts,48246,3872,10365,10
4001,Intercultural And International Studies,Humanities & Liberal Arts,24650,9950,10248,10
2311,Social Science Or History Teacher Education,Education,20198,12835,35411,7
6110,Community And Public Health,Health,19735,8575,16075,9
2305,Mathematics Teacher Education,Education,14237,4103,15632,7
2301,Educational Administration And Supervision,Education,804,78253,63698,7
6106,Health And Medical Preparatory Programs,Health,12740,4747,5959,9
3699,Miscellaneous Biology,Biology & Life Science,10706,5521,7219,3
3600,Biology,Biology & Life Science,280709,111762,168947,3
5507,Sociology,Social Science,115433,24704,28120,16
1903,Mass Media,Communications & Journalism,52824,3741,26730,5
6109,Treatment Therapy Professions,Health,48491,3654,6496,9
6211,Hospitality Management,Business,43647,4416,12185,4
2313,Language And Drama Education,Education,30471,3878,5276,7
2601,Linguistics And Comparative Language And Literature,Humanities & Liberal Arts,16601,2337,7579,10
2399,Miscellaneous Education,Education,10150,32510,82923,7
4007,Interdisciplinary Social Sciences,Social Science,9916,13487,35004,16
3604,Ecology,Biology & Life Science,9154,15204,28443,3
2309,Secondary Teacher Education,Education,17125,6820,10305,7
6100,General Medical And Health Services,Health,33599,7574,26025,9
4801,Philosophy And Religious Studies,Humanities & Liberal Arts,54814,31967,22847,10
2314,Art And Music Education,Education,34181,10732,23449,7
3301,English Language And Literature,Humanities & Liberal Arts,194673,4897,2519,10
2304,Elementary Education,Education,170862,13029,157833,7
4101,Physical Fitness Parks Recreation And Leisure,Industrial Arts & Consumer Services,125074,2049,4434,11
3401,Liberal Arts,Humanities & Liberal Arts,71369,58227,136446,10
